         4931400 function calls (4927001 primitive calls) in 23.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.004    0.004 pkg_resources.py:1963(declare_namespace)
        1    0.000    0.000    0.004    0.004 laguerre.py:59(<module>)
        1    0.001    0.001    0.003    0.003 separate_shader_objects.py:1(<module>)
        1    0.001    0.001    0.003    0.003 shader_subroutine.py:18(<module>)
      663    0.001    0.000    0.003    0.000 wrapper.py:193(typeOfArg)
        1    0.000    0.000    0.003    0.003 GUI.py:188(<listcomp>)
       88    0.000    0.000    0.003    0.000 GL_4_1.py:12(_f)
        1    0.001    0.001    0.003    0.003 main.py:104(populateMap)
       10    0.000    0.000    0.003    0.000 pkg_resources.py:1995(fixup_namespace_packages)
       51    0.001    0.000    0.003    0.000 sre_compile.py:363(_compile_info)
      882    0.001    0.000    0.003    0.000 wrapper.py:115(cArgIndex)
        1    0.000    0.000    0.003    0.003 GL_3_3.py:1(<module>)
        1    0.001    0.001    0.003    0.003 loader.py:1(<module>)
        1    0.001    0.001    0.003    0.003 GL_2_1.py:9(<module>)
        1    0.001    0.001    0.003    0.003 tess.py:1(<module>)
        2    0.003    0.001    0.003    0.001 wrapper.py:863(wrapperCall)
        1    0.000    0.000    0.003    0.003 vertex_shader.py:23(<module>)
        1    0.003    0.003    0.003    0.003 texture_swizzle.py:32(<module>)
     1563    0.003    0.000    0.003    0.000 {built-in method min}
        1    0.000    0.000    0.003    0.003 GUI.py:189(<listcomp>)
        1    0.000    0.000    0.003    0.003 shader_objects.py:44(<module>)
        1    0.001    0.001    0.003    0.003 texture_multisample.py:24(<module>)
      6/4    0.000    0.000    0.003    0.001 baseplatform.py:13(__get__)
        1    0.000    0.000    0.003    0.003 pointers.py:131(<listcomp>)
        1    0.001    0.001    0.003    0.003 debug.py:118(<module>)
       95    0.000    0.000    0.003    0.000 images.py:421(asWrapper)
        2    0.003    0.001    0.003    0.001 {built-in method load_extended}
       30    0.000    0.000    0.003    0.000 pointers.py:101(wrapPointerFunction)
        1    0.000    0.000    0.003    0.003 core.py:21(<module>)
        1    0.000    0.000    0.003    0.003 GL_1_4.py:9(<module>)
        1    0.000    0.000    0.003    0.003 GUI.py:333(initGridBuffers)
      165    0.000    0.000    0.003    0.000 converters.py:248(__call__)
        2    0.000    0.000    0.003    0.001 ctypesloader.py:17(loadLibrary)
      224    0.000    0.000    0.003    0.000 baseplatform.py:96(functionTypeFor)
        1    0.001    0.001    0.003    0.003 tessellation_shader.py:78(<module>)
        4    0.000    0.000    0.003    0.001 arraydatatype.py:170(zeros)
        1    0.001    0.001    0.003    0.003 GL_1_2_images.py:9(<module>)
        1    0.000    0.000    0.003    0.003 GL_3_0.py:1(<module>)
       62    0.000    0.000    0.003    0.000 vertex_program.py:12(_f)
        4    0.000    0.000    0.003    0.001 arraydatatype.py:68(get_output_handler)
        1    0.000    0.000    0.002    0.002 arraydatatype.py:58(handler_by_plugin_name)
       60    0.000    0.000    0.002    0.000 separate_shader_objects.py:12(_f)
        1    0.001    0.001    0.002    0.002 vertex_buffer_object.py:67(<module>)
